FID,X,Y,District,Country,Species
118,35.5876818,8.0743552,Ale,Ethiopia,Coffeearabica
119,35.5889349,8.0714805,Ale,Ethiopia,Coffeearabica
120,35.5903643,8.0740418,Ale,Ethiopia,Coffeearabica
121,35.5916074,8.0704712,Ale,Ethiopia,Coffeearabica
122,35.593256,8.0760905,Ale,Ethiopia,Coffeearabica
123,35.59655,8.0750797,Ale,Ethiopia,Coffeearabica
124,35.5995409,8.0759518,Ale,Ethiopia,Coffeearabica
125,35.6022612,8.0754555,Ale,Ethiopia,Coffeearabica
126,35.6051342,8.0735794,Ale,Ethiopia,Coffeearabica
127,35.6081697,8.0734773,Ale,Ethiopia,Coffeearabica
128,35.608459,8.0689033,Ale,Ethiopia,Coffeearabica
129,35.6102284,8.0713999,Ale,Ethiopia,Coffeearabica
130,35.6160182,8.0753553,Ale,Ethiopia,Coffeearabica
131,35.6181085,8.076617,Ale,Ethiopia,Coffeearabica
132,35.6204083,8.076904,Ale,Ethiopia,Coffeearabica
133,35.6214372,8.0781661,Ale,Ethiopia,Coffeearabica
134,35.6230768,8.0764842,Ale,Ethiopia,Coffeearabica
135,35.6238717,8.0776543,Ale,Ethiopia,Coffeearabica
136,35.6221059,8.0800588,Ale,Ethiopia,Coffeearabica
137,35.6268006,8.0809019,Ale,Ethiopia,Coffeearabica
138,35.6273304,8.0824355,Ale,Ethiopia,Coffeearabica
139,35.6253933,8.0828767,Ale,Ethiopia,Coffeearabica
140,35.6225849,8.0838451,Ale,Ethiopia,Coffeearabica
141,35.6191887,8.0849472,Ale,Ethiopia,Coffeearabica
142,35.6177569,8.0868924,Ale,Ethiopia,Coffeearabica
143,35.6200159,8.0902707,Ale,Ethiopia,Coffeearabica
144,35.6215879,8.0876697,Ale,Ethiopia,Coffeearabica
145,35.6160876,8.080236,Ale,Ethiopia,Coffeearabica
146,35.4852538,8.1969411,Ale,Ethiopia,Coffeearabica
147,35.4820532,8.1947523,Ale,Ethiopia,Coffeearabica
148,35.48005,8.1928033,Ale,Ethiopia,Coffeearabica
149,35.4819777,8.1856774,Ale,Ethiopia,Coffeearabica
150,35.4799405,8.1841864,Ale,Ethiopia,Coffeearabica
151,35.4790941,8.1850369,Ale,Ethiopia,Coffeearabica
152,35.4821474,8.1845554,Ale,Ethiopia,Coffeearabica
153,35.481064,8.1814974,Ale,Ethiopia,Coffeearabica
154,35.4789864,8.18021,Ale,Ethiopia,Coffeearabica
155,35.4771671,8.1789437,Ale,Ethiopia,Coffeearabica
156,35.4761651,8.1760311,Ale,Ethiopia,Coffeearabica
157,35.476658,8.1734776,Ale,Ethiopia,Coffeearabica
